Program: BBCF.exe
0049c006 type=UNCONDITIONAL_CALL fn=FUN_0049c000
004a0411 type=UNCONDITIONAL_CALL fn=FUN_004a0400
0049c079 type=UNCONDITIONAL_CALL fn=FUN_0049c070
0049c07e type=UNCONDITIONAL_CALL fn=FUN_0049c070
0049c0ab type=UNCONDITIONAL_CALL fn=FUN_0049c070
0049c178 type=UNCONDITIONAL_CALL fn=FUN_0049c170
0049c188 type=UNCONDITIONAL_CALL fn=FUN_0049c170
0049c18f type=UNCONDITIONAL_CALL fn=FUN_0049c170
0049c194 type=UNCONDITIONAL_CALL fn=FUN_0049c170
0049c2db type=UNCONDITIONAL_CALL fn=FUN_0049c2d0
0049c2e2 type=UNCONDITIONAL_CALL fn=FUN_0049c2d0
0049c2e7 type=UNCONDITIONAL_CALL fn=FUN_0049c2d0
0049c327 type=UNCONDITIONAL_CALL fn=FUN_0049c2d0
0049c46d type=UNCONDITIONAL_CALL fn=FUN_0049c460
0049c47b type=UNCONDITIONAL_CALL fn=FUN_0049c460
0049c4ba type=UNCONDITIONAL_CALL fn=FUN_0049c460
0049c4db type=UNCONDITIONAL_CALL fn=FUN_0049c460
0049c587 type=UNCONDITIONAL_CALL fn=FUN_0049c580
0049c58e type=UNCONDITIONAL_CALL fn=FUN_0049c580
0049c60b type=UNCONDITIONAL_CALL fn=FUN_0049c600
0049c612 type=UNCONDITIONAL_CALL fn=FUN_0049c600
0049c653 type=UNCONDITIONAL_CALL fn=FUN_0049c600
0049c676 type=UNCONDITIONAL_CALL fn=FUN_0049c600
0049c683 type=UNCONDITIONAL_CALL fn=FUN_0049c600
0049c688 type=UNCONDITIONAL_CALL fn=FUN_0049c600
0049c703 type=UNCONDITIONAL_CALL fn=FUN_0049c600
0049c76b type=UNCONDITIONAL_CALL fn=FUN_0049c760
0049c776 type=UNCONDITIONAL_CALL fn=FUN_0049c760
0049c813 type=UNCONDITIONAL_CALL fn=FUN_0049c810
0049c818 type=UNCONDITIONAL_CALL fn=FUN_0049c810
0049c831 type=UNCONDITIONAL_CALL fn=FUN_0049c810
0049c838 type=UNCONDITIONAL_CALL fn=FUN_0049c810
0049c83d type=UNCONDITIONAL_CALL fn=FUN_0049c810
0049c895 type=UNCONDITIONAL_CALL fn=FUN_0049c890
0049c8a0 type=UNCONDITIONAL_CALL fn=FUN_0049c890
0049c8b4 type=UNCONDITIONAL_CALL fn=FUN_0049c890
0049c8bb type=UNCONDITIONAL_CALL fn=FUN_0049c890
0049c8c0 type=UNCONDITIONAL_CALL fn=FUN_0049c890
0049c92a type=UNCONDITIONAL_CALL fn=FUN_0049c920
0049c935 type=UNCONDITIONAL_CALL fn=FUN_0049c920
0049cb13 type=UNCONDITIONAL_CALL fn=FUN_0049cb10
0049cb18 type=UNCONDITIONAL_CALL fn=FUN_0049cb10
0049cb31 type=UNCONDITIONAL_CALL fn=FUN_0049cb10
0049cb38 type=UNCONDITIONAL_CALL fn=FUN_0049cb10
0049cb3d type=UNCONDITIONAL_CALL fn=FUN_0049cb10
0049cb9b type=UNCONDITIONAL_CALL fn=FUN_0049cb90
0049cba2 type=UNCONDITIONAL_CALL fn=FUN_0049cb90
0049cba7 type=UNCONDITIONAL_CALL fn=FUN_0049cb90
0049cbe6 type=UNCONDITIONAL_CALL fn=FUN_0049cb90
0049cce1 type=UNCONDITIONAL_CALL fn=FUN_0049cb90
0049cce8 type=UNCONDITIONAL_CALL fn=FUN_0049cb90
0049cced type=UNCONDITIONAL_CALL fn=FUN_0049cb90
0049cd7f type=UNCONDITIONAL_CALL fn=FUN_0049cd60
0049cd8c type=UNCONDITIONAL_CALL fn=FUN_0049cd60
0049cd93 type=UNCONDITIONAL_CALL fn=FUN_0049cd60
0049cd98 type=UNCONDITIONAL_CALL fn=FUN_0049cd60
0049ce2a type=UNCONDITIONAL_CALL fn=FUN_0049cd60
0049ce45 type=UNCONDITIONAL_CALL fn=FUN_0049cd60
0049cf4f type=UNCONDITIONAL_CALL fn=FUN_0049cf30
0049cf56 type=UNCONDITIONAL_CALL fn=FUN_0049cf30
0049cf5d type=UNCONDITIONAL_CALL fn=FUN_0049cf30
0049cf62 type=UNCONDITIONAL_CALL fn=FUN_0049cf30
0049cfe2 type=UNCONDITIONAL_CALL fn=FUN_0049cf30
0049d12f type=UNCONDITIONAL_CALL fn=FUN_0049d110
0049d136 type=UNCONDITIONAL_CALL fn=FUN_0049d110
0049d13d type=UNCONDITIONAL_CALL fn=FUN_0049d110
0049d142 type=UNCONDITIONAL_CALL fn=FUN_0049d110
0049d17a type=UNCONDITIONAL_CALL fn=FUN_0049d110
0049d1e6 type=UNCONDITIONAL_CALL fn=FUN_0049d110
0049d201 type=UNCONDITIONAL_CALL fn=FUN_0049d110
0049d208 type=UNCONDITIONAL_CALL fn=FUN_0049d110
0049d20d type=UNCONDITIONAL_CALL fn=FUN_0049d110
0049d29a type=UNCONDITIONAL_CALL fn=FUN_0049d290
0049d2a1 type=UNCONDITIONAL_CALL fn=FUN_0049d290
0049d323 type=UNCONDITIONAL_CALL fn=FUN_0049d320
0049d33c type=UNCONDITIONAL_CALL fn=FUN_0049d320
0049d343 type=UNCONDITIONAL_CALL fn=FUN_0049d320
0049d348 type=UNCONDITIONAL_CALL fn=FUN_0049d320
0049d564 type=UNCONDITIONAL_CALL fn=FUN_0049d560
0049d5d6 type=UNCONDITIONAL_CALL fn=FUN_0049d5d0
0049d615 type=UNCONDITIONAL_CALL fn=FUN_0049d5d0
0049d6be type=UNCONDITIONAL_CALL fn=FUN_0049d6b0
0049d6c5 type=UNCONDITIONAL_CALL fn=FUN_0049d6b0
0049d6ca type=UNCONDITIONAL_CALL fn=FUN_0049d6b0
0049d70b type=UNCONDITIONAL_CALL fn=FUN_0049d6b0
0049d757 type=UNCONDITIONAL_CALL fn=FUN_0049d750
0049d75e type=UNCONDITIONAL_CALL fn=FUN_0049d750
0049d784 type=UNCONDITIONAL_CALL fn=FUN_0049d750
0049d78b type=UNCONDITIONAL_CALL fn=FUN_0049d750
0049d790 type=UNCONDITIONAL_CALL fn=FUN_0049d750
0049d83e type=UNCONDITIONAL_CALL fn=FUN_0049d830
0049d845 type=UNCONDITIONAL_CALL fn=FUN_0049d830
0049d84a type=UNCONDITIONAL_CALL fn=FUN_0049d830
0049d88f type=UNCONDITIONAL_CALL fn=FUN_0049d830
0049dad7 type=UNCONDITIONAL_CALL fn=FUN_0049dad0
0049dafb type=UNCONDITIONAL_CALL fn=FUN_0049dad0
0049db76 type=UNCONDITIONAL_CALL fn=FUN_0049db70
0049db99 type=UNCONDITIONAL_CALL fn=FUN_0049db70
0049dbf9 type=UNCONDITIONAL_CALL fn=FUN_0049dbf0
0049dc18 type=UNCONDITIONAL_CALL fn=FUN_0049dbf0
0049dc26 type=UNCONDITIONAL_CALL fn=FUN_0049dbf0
0049dc2d type=UNCONDITIONAL_CALL fn=FUN_0049dbf0
0049dc32 type=UNCONDITIONAL_CALL fn=FUN_0049dbf0
0049dc92 type=UNCONDITIONAL_CALL fn=FUN_0049dbf0
0049dc99 type=UNCONDITIONAL_CALL fn=FUN_0049dbf0
